Player,Team_x,Season,Position_x,Minutes,Goals Added,Base Salary,Guaranteed Compensation
Memo Rodríguez,HOU,2017,W,367,0.28,"$53,004","$53,004"
Jeisson Vargas,MTL,2018,ST,959,0.27,"$200,000","$200,000"
Erik Hurtado,VAN,2013,W,568,0.27,"$46,500","$81,500"
Niki Jackson,COL,2018,ST,538,0.27,"$54,500","$54,500"
Justin Schmidt,RSL,2017,CB,725,0.27,"$53,004","$53,004"
John Bostock,TOR,2013,W,426,0.27,,
Zach Scott,SEA,2014,CB,1506,0.27,"$52,500","$52,500"
Marco Farfan,POR,2017,FB,444,0.27,"$53,000","$53,000"
Richie Laryea,ORL,2018,W,303,0.27,"$135,000","$164,000"
Facundo Coria,DCU,2015,ST,169,0.27,"$60,000","$70,375"
Andreu Fontàs,SKC,2018,CB,106,0.27,"$1,000,000","$1,000,000"
Ashtone Morgan,TOR,2015,FB,1657,0.27,"$100,000","$112,000"
Gláuber,CLB,2013,CB,1255,0.27,"$215,000","$263,333"
Kofi Opare,DCU,2016,CB,926,0.26,"$90,000","$105,000"
Eric Alexander,HOU,2018,DM,1812,0.26,"$260,004","$260,004"
Alex Caskey,DCU,2014,W,252,0.26,"$48,825","$48,825"
Eric Miller,COL,2016,FB,2288,0.26,"$66,413","$77,413"
Johan Venegas,MTL,2016,W,786,0.26,"$200,000","$212,500"
Adrian Winter,ORL,2015,W,641,0.26,"$180,000","$198,333"
Cristian Martínez,CLB,2017,AM,275,0.26,"$65,633","$70,133"
Andrea Pisanu,MTL,2013,W,684,0.26,"$100,000","$148,000"
Amobi Okugo,POR,2016,CB,255,0.26,"$300,000","$325,000"
Ned Grabavoy,POR,2016,W,753,0.26,"$150,000","$150,000"
Tosaint Ricketts,VAN,2019,ST,523,0.26,"$70,250","$70,250"
Bobby Convey,NYRB,2014,FB,816,0.26,"$137,500","$147,500"
Omar Holness,RSL,2016,CM,332,0.26,"$100,000","$123,500"
Dillon Serna,COL,2019,FB,671,0.26,"$120,000","$120,000"
José Aja,ORL,2016,CB,900,0.26,"$192,000","$192,000"
Amro Tarek,ORL,2018,CB,1861,0.26,"$80,000","$88,333"
Andrew Wiedeman,TOR,2014,W,129,0.26,"$60,500","$70,500"
Drew Conner,CHI,2018,FB,526,0.26,"$68,907","$68,907"
Brian Brown,PHI,2014,ST,273,0.26,"$48,504","$53,004"
Jeremy Ebobisse,POR,2017,ST,386,0.25,"$130,000","$173,000"
Abdoulie Mansally,RSL,2014,FB,721,0.25,"$65,000","$72,000"
Tyler Turner,ORL,2015,FB,514,0.25,"$60,000","$60,000"
Steven Kinney,CHI,2014,FB,144,0.25,"$48,825","$48,825"
Andreas Ivanschitz,SEA,2015,W,462,0.25,"$180,000","$201,250"
Sebastian Anderson,COL,2019,FB,337,0.25,"$56,250","$80,917"
Michael Stephens,LAG,2013,W,855,0.25,"$84,755","$106,005"
Abdul Rwatubyaye,SKC,2019,CB,181,0.25,"$56,250","$62,625"
Luke Mishu,DCU,2016,FB,490,0.25,"$62,500","$62,500"
Román Torres,SEA,2015,CB,336,0.25,"$438,000","$513,813"
Shaun Francis,SJE,2016,FB,1644,0.25,"$95,000","$103,333"
Brian Ownby,HOU,2013,DM,71,0.25,"$46,500","$46,500"
Sebastián Saucedo,RSL,2015,W,210,0.25,"$50,000","$60,500"
Jesús Ferreira,FCD,2018,W,9,0.24,"$54,500","$54,500"
Erik Hurtado,VAN,2015,W,235,0.24,"$78,265","$113,265"
José Villarreal,LAG,2015,W,756,0.24,"$60,000","$61,875"
Abu Danladi,MIN,2018,ST,562,0.24,"$135,000","$186,000"
Fatai Alashe,CIN,2019,CM,501,0.24,"$190,000","$190,000"
Charles Eloundou,COL,2014,W,475,0.24,"$48,825","$53,825"
Davy Armstrong,COL,2014,FB,75,0.24,"$36,504","$36,504"
Lionard Pajoy,DCU,2013,ST,1245,0.24,"$190,000","$205,000"
Jeanderson,POR,2015,FB,103,0.24,"$60,000","$60,000"
Ben Zemanski,POR,2014,DM,821,0.24,"$80,850","$83,350"
Ignacio Piatti,MTL,2019,W,831,0.24,"$530,000","$4,443,333"
Aaron Kovar,SEA,2017,W,232,0.24,"$66,150","$66,350"
Carlos Ruiz,FCD,2016,DM,22,0.24,"$72,000","$72,000"
J.J. Williams,CLB,2019,ST,368,0.24,"$95,000","$149,750"
Niko Hämäläinen,LAFC,2019,FB,114,0.24,,
Miller Bolaños,CHV,2013,W,256,0.24,,
Rece Buckmaster,NYRB,2019,FB,597,0.24,"$56,250","$56,250"
Lewis Neal,DCU,2014,W,1037,0.24,"$100,000","$106,441"
Christian Dean,"VAN, CHI",2017,CB,490,0.24,"$90,000","$93,125"
Aurélien Collin,NYRB,2018,CB,381,0.24,"$450,000","$450,000"
Danny Califf,TOR,2013,CB,380,0.24,,
Walker Zimmerman,FCD,2013,CB,460,0.23,"$75,000","$155,100"
Tommy Redding,ORL,2017,CB,1536,0.23,"$110,000","$117,500"
Jared Watts,HOU,2018,CB,585,0.23,"$92,500","$92,500"
Caleb Stanko,CIN,2019,DM,1587,0.23,"$337,500","$390,833"
Landon Donovan,LAG,2016,W,270,0.23,"$456,000","$456,000"
Hernán Bernardello,MTL,2016,CM,1078,0.23,"$216,000","$216,000"
Jordan Allen,RSL,2017,W,115,0.23,"$178,000","$178,000"
Mark Sherrod,SJE,2015,ST,258,0.23,"$60,000","$60,000"
Collin Martin,MIN,2017,DM,684,0.23,"$84,996","$84,996"
Ricardo Velazco,RSL,2017,W,302,0.23,"$65,633","$65,633"
Michael Ciani,LAG,2018,CB,1776,0.23,"$600,000","$620,000"
Karl Ouimette,NYRB,2015,CB,781,0.23,"$60,000","$60,000"
Tommy Meyer,LAG,2013,CB,534,0.23,"$47,300","$61,050"
Sam Cruz Garza,SJE,2013,W,124,0.23,"$71,500","$98,000"
Calum Mallace,MTL,2017,DM,333,0.23,"$115,000","$131,250"
Sam Adekugbe,VAN,2014,FB,222,0.23,"$50,000","$55,000"
Bill Tuiloma,POR,2018,CB,804,0.22,"$67,500","$75,000"
Andy Craven,SEA,2015,ST,85,0.22,"$60,000","$60,000"
José Hernández,RSL,2017,W,196,0.22,"$53,004","$56,379"
Walter Restrepo,PHI,2016,ST,104,0.22,"$125,000","$139,500"
Victor Arboleda,POR,2017,W,77,0.22,"$65,000","$65,000"
Donnie Smith,NER,2016,FB,236,0.22,"$63,000","$63,000"
Anthony Wallace,NYRB,2015,FB,580,0.22,"$60,000","$60,000"
Mark Bloom,TOR,2016,FB,363,0.22,"$94,500","$101,849"
Erik Holt,RSL,2019,CB,403,0.22,"$70,250","$70,250"
Mehdi Ballouchy,SJE,2013,W,141,0.22,"$152,006","$152,006"
Simon Colyn,VAN,2018,W,9,0.22,"$54,500","$60,750"
George Bello,ATL,2018,FB,193,0.22,"$67,500","$71,500"
Diedie Traore,LAG,2019,FB,244,0.22,"$56,250","$56,250"
Clarence Goodson,SJE,2016,CB,193,0.22,"$315,000","$342,000"
Eriq Zavaleta,SEA,2013,W,59,0.22,"$65,000","$95,600"
Servando Carrasco,ORL,2017,DM,905,0.22,"$114,996","$114,996"
Manolo Sánchez,NYRB,2015,W,39,0.22,"$50,000","$50,000"
Aly Ghazal,VAN,2017,DM,679,0.22,"$86,800","$212,367"
Danilo Silva,LAFC,2019,CB,261,0.22,"$200,000","$200,000"
Ethan Zubak,LAG,2019,ST,57,0.22,"$75,000","$78,125"
Paxton Pomykal,FCD,2018,CM,156,0.22,"$85,000","$90,000"
Mechack Jerome,SKC,2013,FB,741,0.21,"$35,125","$35,125"
Zach Loyd,FCD,2016,CB,998,0.21,"$200,000","$221,667"
Keyner Brown,HOU,2016,CB,315,0.21,"$108,000","$108,000"
Mauro Manotas,HOU,2015,ST,146,0.21,"$60,000","$60,000"
Hunter Jumper,CHI,2013,CB,194,0.21,"$35,125","$35,125"
Henry Wingo,SEA,2017,FB,192,0.21,"$53,004","$53,004"
Mike Grella,CLB,2018,W,535,0.21,"$195,300","$197,550"
Josh Sims,NYRB,2019,W,523,0.21,"$695,968","$710,468"
Kwame Watson-Siriboe,NYC,2015,CB,752,0.21,"$65,000","$81,667"
Alexander López,HOU,2013,DM,94,0.21,"$192,000","$212,000"
Alexander López,HOU,2014,DM,310,0.21,"$90,000","$110,000"
Steven Taylor,POR,2016,CB,881,0.21,"$300,000","$319,583"
Louis Béland-Goyette,MTL,2018,CM,130,0.21,"$54,500","$55,750"
Adam Jahn,CLB,2017,ST,412,0.21,"$92,500","$92,500"
Samuel Ochoa,SEA,2013,ST,196,0.21,,
Gastón Sauro,CLB,2018,CB,576,0.2,"$67,500","$67,500"
Niko Hansen,CLB,2017,W,477,0.2,"$65,000","$72,500"
Maxim Tissot,DCU,2017,FB,97,0.2,,
Cameron Porter,MTL,2015,ST,46,0.2,"$50,000","$50,000"
Aaron Kovar,SEA,2015,W,220,0.2,"$60,000","$60,200"
Austin Berry,PHI,2014,CB,530,0.2,"$86,994","$101,994"
Kyle Duncan,NYRB,2018,FB,391,0.2,"$54,500","$54,500"
Mehdi Ballouchy,VAN,2014,CM,341,0.2,"$65,000","$65,000"
Michael Bustamante,NYRB,2013,CM,104,0.2,"$46,500","$46,500"
Sal Zizzo,POR,2013,FB,313,0.2,"$76,781","$85,988"
David Carney,NYRB,2013,FB,686,0.2,"$144,000","$167,000"
Jeremiah Gutjahr,CHI,2019,FB,556,0.2,"$56,250","$56,250"
Tommy McCabe,CIN,2019,DM,283,0.2,"$56,250","$56,250"
Fidel Escobar,NYRB,2018,CB,411,0.2,"$145,000","$145,000"
Demar Phillips,RSL,2018,FB,385,0.2,"$120,000","$126,250"
London Woodberry,NER,2017,CB,185,0.2,"$69,300","$69,300"
Tsubasa Endoh,TOR,2017,FB,292,0.2,"$54,075","$54,075"
Chris Odoi-Atsem,DCU,2019,FB,154,0.2,"$56,250","$56,250"
Bruno Miranda,DCU,2017,W,77,0.2,"$53,000","$57,476"
Mark Segbers,NER,2018,FB,50,0.2,"$54,500","$57,761"
Kyle Bekker,TOR,2013,CM,386,0.2,"$46,500","$72,750"
Brian Ownby,HOU,2014,ST,434,0.2,"$48,825","$48,825"
Andrew Wiedeman,TOR,2013,ST,884,0.2,"$55,000","$65,000"
Marco Delgado,CHV,2014,W,1238,0.2,"$75,000","$77,500"
John Goossens,CHI,2017,DM,98,0.2,"$230,000","$233,333"
Michael Nanchoff,POR,2014,W,100,0.19,"$48,825","$48,825"
Emiliano Amor,SKC,2018,CB,375,0.19,,
Shane O'Neill,COL,2015,CB,316,0.19,,
Daniel Lovitz,TOR,2015,FB,411,0.19,"$60,000","$60,000"
Kianz Froese,VAN,2015,W,256,0.19,"$60,000","$64,500"
Damien Perrinelle,NYRB,2016,CB,799,0.19,"$140,000","$140,000"
Mathieu Choinière,MTL,2018,W,112,0.19,"$54,500","$59,441"
Pedro Santos,CLB,2017,W,698,0.19,"$684,000","$731,000"
Justin Dhillon,SEA,2019,ST,289,0.19,"$70,250","$70,250"
Patrick Mullins,"TOR, CLB",2019,ST,641,0.19,"$260,004","$260,004"
Rod Fanni,MTL,2019,CB,295,0.19,"$299,250","$299,250"
Kevan George,CLB,2013,DM,501,0.19,"$46,500","$46,500"
Matthew Dunn,CHV,2014,CM,447,0.18,"$48,500","$48,500"
Gale Agbossoumonde,TOR,2013,CB,1170,0.18,"$46,500","$53,167"
Jahmir Hyka,SJE,2018,W,980,0.18,"$489,996","$539,996"
Clément Bayiha,MTL,2019,W,530,0.18,"$61,750","$67,125"
Marcos Sánchez,DCU,2013,W,550,0.18,,
Will Johnson,ORL,2017,CM,2219,0.18,"$414,000","$450,000"
Bobby Warshaw,FCD,2013,DM,177,0.18,"$50,820","$62,070"
José Aja,ORL,2017,CB,1366,0.18,"$216,000","$216,000"
Justin Rennicks,NER,2019,ST,116,0.18,"$80,000","$115,000"
Jalen Robinson,DCU,2018,FB,366,0.18,"$75,000","$75,000"
Mikey Lopez,SKC,2014,CM,522,0.18,"$85,000","$157,000"
Richie Laryea,ORL,2017,CM,326,0.18,"$130,000","$159,000"
Dejan Jakovic,LAFC,2019,CB,200,0.18,"$150,000","$153,750"
Walker Hume,FCD,2017,CB,194,0.17,"$53,004","$53,004"
Alejandro Zendejas,FCD,2015,W,227,0.17,"$60,000","$76,667"
Khari Stephenson,RSL,2013,CM,872,0.17,"$77,500","$81,958"
Jeremy Hall,TOR,2014,CM,202,0.17,"$105,000","$115,000"
Edward Opoku,CLB,2018,W,182,0.17,"$75,000","$96,000"
Djimi Traore,SEA,2014,CB,1246,0.17,"$132,000","$132,000"
Cedrick Mabwati,CLB,2015,W,278,0.17,"$201,429","$220,179"
Anthony Wallace,COL,2013,FB,141,0.17,"$66,564","$66,564"
Sergio Campbell,CLB,2015,CB,96,0.17,"$50,000","$52,500"
Wandrille Lefevre,MTL,2013,CB,437,0.17,"$35,125","$35,125"
Omar Gaber,LAFC,2018,FB,296,0.17,,
Giliano Wijnaldum,PHI,2017,FB,1236,0.17,"$65,004","$78,337"
Tommy Thompson,SJE,2014,ST,753,0.17,"$140,000","$145,000"
Amando Moreno,CHI,2019,W,111,0.17,"$70,250","$72,750"
Martin Paterson,ORL,2015,W,73,0.17,,
Aurélien Collin,PHI,2019,CB,590,0.17,"$175,000","$175,000"
Michael Lahoud,PHI,2014,DM,489,0.16,"$99,000","$102,333"
Tony Alfaro,SEA,2018,CB,236,0.16,"$67,500","$67,500"
Andrew Wooten,PHI,2019,ST,393,0.16,"$510,000","$595,833"
Bradford Jamieson,LAG,2016,ST,55,0.16,"$63,000","$63,000"
Connor Lade,NYRB,2013,FB,186,0.16,"$55,000","$59,213"
Tommy Redding,ORL,2015,CB,100,0.16,"$85,000","$92,500"
Joel Qwiberg,SJE,2018,FB,398,0.16,"$130,000","$168,000"
Carlos Ruiz,DCU,2013,ST,571,0.16,"$75,000","$75,000"
Claudio Bieler,SKC,2013,ST,2256,0.16,"$200,000","$200,000"
Daniel Steres,LAG,2018,CB,1453,0.16,"$125,004","$132,067"
Hogan Ephraim,TOR,2013,W,843,0.16,,
Don Anding,PHI,2013,ST,35,0.16,"$35,125","$35,125"
Raul Mendiola,LAG,2016,W,392,0.16,"$62,500","$62,500"
James Sands,NYC,2018,DM,230,0.16,"$54,500","$75,333"
Cole Bassett,COL,2018,CM,362,0.16,"$60,000","$69,000"
Marco Bustos,VAN,2015,W,34,0.16,"$50,000","$54,850"
Kenney Walker,LAG,2015,DM,320,0.16,"$60,000","$60,000"
Sam Adekugbe,VAN,2013,FB,94,0.16,"$46,500","$51,500"
Brett Levis,VAN,2016,W,11,0.16,"$62,500","$65,000"
José Escalante,HOU,2017,W,44,0.16,"$53,004","$53,004"
Carlyle Mitchell,VAN,2014,CB,778,0.16,"$48,825","$50,075"
Ayo Akinola,TOR,2019,ST,295,0.16,"$56,256","$124,256"
Román Torres,SEA,2016,CB,831,0.16,"$416,000","$491,813"
Taylor Peay,POR,2016,FB,125,0.16,"$53,472","$53,472"
Emanuel Pogatetz,CLB,2014,CB,62,0.16,"$360,000","$372,500"
Ethen Sampson,VAN,2015,FB,90,0.15,"$60,000","$60,000"
Forrest Lasso,CIN,2019,CB,430,0.15,"$70,250","$77,583"
Jordy Delem,SEA,2018,DM,964,0.15,"$67,500","$67,500"
Brian Carroll,PHI,2017,W,46,0.15,"$132,000","$140,000"
Kharlton Belmar,SKC,2018,W,87,0.15,"$68,254","$68,254"
Devon Sandoval,RSL,2014,ST,705,0.15,"$48,500","$48,500"
Ariel Lassiter,LAG,2016,ST,145,0.15,"$51,500","$51,500"
Amro Tarek,CLB,2016,AM,9,0.15,,
Stephen McCarthy,NER,2014,CB,96,0.15,"$101,332","$132,582"
Daniel Paladini,CLB,2014,DM,236,0.15,"$75,000","$76,667"
Andreas Görlitz,SJE,2014,FB,240,0.15,"$90,000","$99,737"
Michael Videira,CHI,2013,FB,86,0.15,"$46,500","$47,125"
Olivier Mbaizo,PHI,2019,FB,219,0.15,"$70,875","$70,875"
Tommy Redding,NYRB,2018,CB,100,0.15,"$125,000","$147,500"
Darrius Barnes,NER,2013,FB,468,0.15,"$71,467","$72,717"
Raymon Gaddis,PHI,2016,FB,557,0.15,"$150,000","$152,500"
Francois Affolter,SJE,2018,CB,737,0.14,"$200,000","$232,650"
Phanuel Kavita,RSL,2016,CB,100,0.14,"$51,500","$51,500"
Kyle Porter,DCU,2014,W,95,0.14,"$52,313","$60,956"
Leo Fernandes,PHI,2013,CM,312,0.14,"$35,125","$35,125"
A.J. Cochran,HOU,2015,CB,548,0.14,"$60,375","$76,375"
Waylon Francis,CLB,2019,FB,1512,0.14,"$160,000","$199,167"
Marius Obekop,NYRB,2014,W,52,0.14,"$36,500","$41,500"
Marcel de Jong,VAN,2016,FB,511,0.14,"$62,500","$62,500"
Romain Alessandrini,LAG,2019,W,293,0.14,"$1,610,004","$1,940,004"
Luke Moore,TOR,2015,ST,691,0.14,"$215,000","$235,500"
Jorge Villafaña,POR,2018,FB,715,0.14,"$600,000","$617,500"
Colin Clark,LAG,2013,W,388,0.14,"$80,000","$80,000"
Jean-Baptiste Pierazzi,SJE,2015,CM,292,0.13,"$260,000","$260,000"
Pecka,RSL,2015,DM,128,0.13,"$60,000","$64,167"
Marcelo,CHI,2019,CB,1268,0.13,"$775,000","$797,500"
Hadji Barry,ORL,2017,W,29,0.13,"$68,750","$73,313"
Clarence Goodson,SJE,2013,CB,847,0.13,"$315,000","$342,000"
Eric Bird,HOU,2018,DM,373,0.13,"$67,500","$67,500"
Aaron Kovar,SEA,2014,W,42,0.13,"$48,500","$48,700"
Edson Buddle,LAG,2015,ST,313,0.13,"$100,000","$106,250"
Collin Martin,MIN,2019,DM,210,0.13,"$105,000","$105,000"
Collen Warner,HOU,2016,DM,2115,0.12,"$146,934","$174,434"
Jared Jeffrey,DCU,2015,CM,62,0.12,"$68,250","$74,450"
Harrison Heath,MIN,2018,DM,148,0.12,"$69,458","$69,458"
Adrien Pérez,LAFC,2019,W,274,0.12,"$56,250","$56,250"
Collin Fernandez,CHI,2016,CM,17,0.12,"$75,000","$77,000"
Charlie Davies,NER,2014,ST,1228,0.12,"$75,000","$78,941"
Grant Lillard,CHI,2019,CB,228,0.12,"$95,000","$97,500"
Jason Hernandez,TOR,2017,CB,581,0.12,"$65,004","$65,004"
Khari Stephenson,SJE,2015,DM,236,0.12,"$68,254","$71,646"
Marius Obekop,NYRB,2015,W,10,0.12,"$50,000","$50,000"
Kevin Kratz,ATL,2017,DM,701,0.12,"$150,000","$164,250"
Florent Sinama-Pongolle,CHI,2014,ST,419,0.12,"$72,000","$81,000"
Chad Barson,CLB,2015,FB,514,0.12,"$60,000","$60,000"
Memo Rodríguez,HOU,2018,W,773,0.12,"$55,654","$55,654"
Cristian Lobato,SKC,2017,W,590,0.12,"$180,000","$180,000"
Jordan Allen,RSL,2014,ST,21,0.12,"$80,000","$90,000"
Maximiliano Urruti,"POR, TOR",2013,ST,377,0.12,"$200,000","$200,000"
Warren Creavalle,"TOR, PHI",2015,FB,967,0.12,"$108,500","$119,000"
Andrew Wheeler-Omiunu,ATL,2018,CM,26,0.12,"$55,654","$55,654"
Carlos Salcedo,RSL,2013,CB,1152,0.12,"$35,125","$35,125"
Guillermo Hauche,NER,2018,W,193,0.11,"$120,000","$135,000"
Coy Craft,FCD,2015,W,75,0.11,"$60,000","$77,083"
Charlie Rugg,LAG,2013,ST,166,0.11,"$35,125","$35,125"
Michael Lahoud,PHI,2013,CM,519,0.11,"$90,000","$93,333"
Matthew Real,PHI,2019,DM,85,0.11,"$57,225","$57,225"
Kwame Awuah,NYC,2018,DM,170,0.11,"$55,654","$55,654"
Cristian Martínez,CLB,2016,W,221,0.11,"$62,508","$67,008"
Mo Adams,"ATL, CHI",2019,DM,652,0.11,"$100,000","$135,000"
Erik Hurtado,SKC,2019,ST,902,0.11,"$175,000","$181,250"
Oscar Sorto,LAG,2014,FB,19,0.1,"$48,825","$50,700"
Dennis Castillo,COL,2017,FB,271,0.1,"$54,075","$54,075"
Danny Koevermans,TOR,2013,ST,98,0.1,"$1,250,000","$1,663,323"
Connor Brandt,NYC,2015,CB,14,0.1,"$50,000","$50,000"
João Pedro,LAG,2018,DM,92,0.1,"$219,996","$240,996"
José Villarreal,ORL,2018,DM,62,0.1,"$85,000","$85,000"
Tyson Wahl,CLB,2014,CB,1517,0.1,"$85,000","$89,667"
Mitchell Taintor,TOR,2018,CB,95,0.1,,
Mechack Jerome,SKC,2014,FB,100,0.1,,
Ike Opara,SKC,2014,CB,164,0.1,"$97,500","$103,750"
Rafael García,LAG,2014,CM,20,0.09,"$48,825","$48,825"
Ema Twumasi,FCD,2019,FB,42,0.09,"$150,000","$196,900"
Eric Avila,ORL,2015,W,1432,0.09,"$72,000","$77,000"
David Horst,POR,2013,CB,114,0.09,"$70,000","$70,000"
Innocent Emeghara,SJE,2016,ST,152,0.09,"$988,000","$1,300,000"
Demar Phillips,RSL,2017,FB,1046,0.09,"$155,004","$162,837"
Mehdi Ballouchy,NYC,2016,W,169,0.09,"$71,663","$86,663"
Erik Palmer-Brown,SKC,2015,CB,416,0.09,"$60,000","$60,500"
Ty Harden,"CHI, SJE",2015,CB,425,0.09,"$71,663","$75,078"
Dilly Duka,NYRB,2017,W,165,0.09,"$175,000","$175,000"
Igor Julião,SKC,2017,FB,49,0.09,,
Alex De John,ORL,2019,CB,438,0.09,"$135,000","$146,614"
Javier Pérez,LAFC,2019,CM,18,0.09,"$56,250","$56,250"
Seyi Adekoya,SEA,2017,ST,83,0.08,"$53,004","$53,004"
Conor Doyle,COL,2016,W,43,0.08,"$66,000","$67,250"
Eric Calvillo,SJE,2018,W,173,0.08,"$100,000","$115,000"
Matthew Real,PHI,2018,FB,252,0.08,"$54,500","$54,500"
Luis Felipe,SJE,2019,DM,59,0.08,"$70,875","$71,625"
Tony Cascio,HOU,2014,CM,377,0.08,"$71,390","$105,140"
Todd Dunivant,LAG,2015,FB,78,0.08,"$185,000","$205,750"
Fatai Alashe,SJE,2018,CM,429,0.08,"$107,993","$124,243"
Alex Morrell,CHI,2016,ST,77,0.08,"$51,500","$51,500"
Chris Duvall,HOU,2019,FB,98,0.08,,
Ola Kamara,DCU,2019,ST,285,0.08,"$240,000","$260,000"
Jesús Medina,NYC,2019,W,834,0.08,"$750,000","$870,833"
Ben Zemanski,POR,2017,DM,482,0.08,"$105,000","$109,000"
Sam Hamilton,COL,2017,CM,137,0.08,"$65,004","$65,004"
Shaft Brewer,LAFC,2018,ST,52,0.08,"$54,500","$56,167"
Jason Hernandez,TOR,2018,CB,581,0.08,"$67,500","$67,500"
Nick DePuy,MTL,2017,ST,151,0.08,"$65,000","$72,500"
Isaac Angking,NER,2018,W,52,0.08,"$67,500","$72,500"
Tomás Conechny,POR,2018,AM,92,0.07,"$150,000","$166,667"
Fabian Herbers,CHI,2019,CM,878,0.07,"$135,000","$135,000"
Jeb Brovsky,MTL,2014,FB,635,0.07,"$115,000","$119,000"
Donnie Smith,NER,2017,FB,58,0.07,"$66,150","$66,150"
Hugh Alexander Dixon,HOU,2013,CM,31,0.07,"$49,613","$54,613"
Tristan Bowen,SEA,2014,W,71,0.07,"$65,000","$70,000"
Cameron Lindley,ORL,2018,FB,223,0.07,"$80,000","$88,906"
Krzysztof Krol,MTL,2014,FB,1037,0.07,"$153,000","$153,000"
Jimmy Ockford,SEA,2015,CB,97,0.07,"$60,000","$60,000"
Francois Affolter,SJE,2019,CB,99,0.07,"$250,000","$282,000"
Justin Bilyeu,NYRB,2017,FB,96,0.07,,
Marcos López,SJE,2019,FB,1262,0.07,"$280,000","$387,750"
Rafael Ramos,CHI,2018,FB,123,0.07,,
Servando Carrasco,LAG,2019,DM,483,0.07,"$70,250","$70,250"
Tony Rocha,NYC,2019,CM,1003,0.07,"$72,347","$72,347"
Darwin Jones,SEA,2015,ST,152,0.07,"$60,000","$66,250"
Louis Béland-Goyette,MTL,2014,DM,20,0.07,"$36,504","$36,504"
John Neeskens,COL,2014,W,296,0.07,"$42,504","$42,504"
Tommy Meyer,LAG,2015,CB,396,0.07,"$60,000","$73,750"
David Choinière,MTL,2017,W,53,0.07,"$54,075","$54,075"
Chance Myers,SKC,2016,FB,621,0.07,"$200,000","$225,000"
Felipe Hernandez,SKC,2019,DM,108,0.06,"$56,250","$56,250"
Josué Colmán,ORL,2019,W,205,0.06,"$450,000","$450,000"
Olivier Mbaizo,PHI,2018,FB,87,0.06,"$67,500","$67,500"
Timo Pitter,FCD,2016,AM,14,0.06,"$51,504","$51,504"
Brandt Bronico,CHI,2017,ST,72,0.06,"$65,004","$65,004"
Jalen Robinson,DCU,2017,CB,591,0.06,"$69,996","$69,996"
Rafael García,LAG,2015,CM,371,0.06,"$60,000","$60,000"
Emery Welshman,TOR,2013,ST,10,0.06,"$46,500","$46,500"
Justin Mapp,SKC,2016,W,77,0.06,"$224,070","$239,070"
Simon Dawkins,SJE,2017,W,697,0.06,"$800,000","$800,000"
Sebastien Ibeagha,NYC,2019,CB,1263,0.06,"$74,250","$74,250"
Dennis Castillo,COL,2016,FB,144,0.06,"$51,500","$51,500"
Gorka Larrea,MTL,2014,DM,481,0.06,"$48,500","$48,500"
Luis Gil,HOU,2018,AM,344,0.06,"$67,500","$67,500"
Ryan Telfer,TOR,2019,W,11,0.06,"$70,250","$70,250"
Siad Haji,SJE,2019,W,65,0.06,"$75,000","$104,000"
Bilal Duckett,NER,2013,FB,97,0.06,"$35,125","$35,125"
Harrison Heath,ATL,2017,CM,4,0.06,"$66,150","$66,150"
Michael Ciani,LAG,2017,CB,588,0.06,"$600,000","$620,000"
Adam Najem,PHI,2017,AM,179,0.06,"$65,000","$65,000"
Baggio Husidic,LAG,2017,DM,493,0.06,"$175,000","$175,000"
Kevin Garcia,HOU,2017,FB,233,0.05,"$65,633","$65,633"
Charlie Davies,NER,2013,W,38,0.05,"$48,000","$59,250"
Jason Johnson,HOU,2014,ST,228,0.05,"$80,000","$121,000"
Johan Blomberg,COL,2019,CM,101,0.05,"$250,962","$250,962"
Erick Torres,HOU,2015,ST,388,0.05,"$350,000","$425,000"
Kevin Venegas,MIN,2017,FB,585,0.05,"$85,000","$88,333"
Rafael Ramos,ORL,2017,FB,61,0.05,"$100,800","$100,800"
Christian Dean,VAN,2014,CB,144,0.05,"$80,000","$161,000"
Jon Bakero,"CHI, TOR",2018,ST,260,0.05,"$85,000","$101,375"
Mike Chabala,HOU,2013,FB,166,0.05,"$55,008","$57,508"
Tony Rocha,ORL,2018,DM,902,0.05,"$68,902","$68,902"
Kianz Froese,VAN,2016,DM,172,0.05,"$66,000","$70,500"
Nathan Smith,LAG,2017,FB,986,0.05,"$53,004","$55,500"
Aidan Daniels,TOR,2018,W,16,0.05,"$54,500","$54,500"
Kevin Molino,MIN,2018,AM,153,0.05,"$425,004","$477,504"
Bradford Jamieson,LAG,2018,W,293,0.05,"$72,765","$72,765"
José Rafael Hernández,ATL,2018,FB,22,0.05,"$120,000","$120,000"
Éver Alvarado,SKC,2016,W,35,0.05,"$51,500","$75,167"
Donnie Smith,NER,2013,W,55,0.05,"$35,125","$35,125"
Luke Mulholland,RSL,2019,DM,25,0.05,"$155,000","$155,000"
Justin Bilyeu,NYRB,2016,FB,138,0.05,"$51,500","$51,500"
Sheanon Williams,LAG,2018,FB,199,0.05,"$67,500","$72,500"
Darwin Jones,SEA,2016,W,33,0.05,"$62,500","$68,750"
Carlos Alvarez,COL,2015,W,38,0.05,"$70,000","$70,000"
Gbenga Arokoyo,POR,2016,CB,28,0.05,"$90,000","$110,600"
Graham Smith,SKC,2018,CB,195,0.05,"$54,500","$54,500"
José Villarreal,LAG,2016,W,31,0.05,"$90,000","$90,000"
David Choinière,MTL,2016,CM,78,0.05,"$51,500","$51,500"
